Numord;Rigord;Codcli;Codart;Data_ordine;Qtaord
ORD5000;1;C001;A001;13/01/2025;2
ORD5001;2;C001;A001;24/07/2025;5
ORD5002;3;C001;A001;23/05/2025;1
ORD5003;4;C001;A001;23/05/2025;5
ORD5004;1;C001;A002;25/11/2025;10
ORD5005;2;C001;A002;14/12/2025;5
ORD5006;3;C001;A002;15/01/2025;1
ORD5007;4;C001;A002;14/05/2025;2
ORD5008;1;C001;A003;25/10/2025;5
ORD5009;2;C001;A003;20/01/2025;1
ORD5010;3;C001;A003;02/11/2025;10
ORD5011;1;C001;A006;26/06/2025;5
ORD5012;2;C001;A006;12/08/2025;1
ORD5013;3;C001;A006;17/07/2025;2
ORD5014;4;C001;A006;11/05/2025;1
ORD5015;1;C001;A010;29/12/2025;10
ORD5016;2;C001;A010;01/01/2025;2
ORD5017;3;C001;A010;06/07/2025;10
ORD5018;4;C001;A010;05/02/2025;5
ORD5019;1;C002;A001;16/11/2025;5
ORD5020;2;C002;A001;06/12/2025;1
ORD5021;3;C002;A001;03/06/2025;5
ORD5022;4;C002;A001;08/12/2025;10
ORD5023;1;C002;A004;17/06/2025;10
ORD5024;2;C002;A004;23/12/2025;5
ORD5025;3;C002;A004;11/10/2025;2
ORD5026;4;C002;A004;09/04/2025;10
ORD5027;1;C002;A007;07/12/2025;10
ORD5028;2;C002;A007;13/12/2025;2
ORD5029;3;C002;A007;12/11/2025;5
ORD5030;4;C002;A007;27/07/2025;1
ORD5031;1;C003;A002;05/06/2025;5
ORD5032;2;C003;A002;18/04/2025;10
ORD5033;3;C003;A002;24/10/2025;5
ORD5034;4;C003;A002;27/08/2025;10
ORD5035;1;C003;A005;15/08/2025;2
ORD5036;2;C003;A005;19/09/2025;10
ORD5037;3;C003;A005;28/03/2025;1
ORD5038;4;C003;A005;26/05/2025;5
ORD5039;1;C003;A006;17/02/2025;2
ORD5040;2;C003;A006;11/12/2025;5
ORD5041;3;C003;A006;26/04/2025;2
ORD5042;4;C003;A006;17/03/2025;1
ORD5043;1;C004;A001;24/01/2025;2
ORD5044;2;C004;A001;01/09/2025;1
ORD5045;3;C004;A001;22/08/2025;10
ORD5046;4;C004;A001;19/11/2025;2
ORD5047;1;C004;A003;23/12/2025;10
ORD5048;2;C004;A003;11/09/2025;10
ORD5049;3;C004;A003;05/05/2025;2
ORD5050;4;C004;A003;02/12/2025;1
ORD5051;1;C004;A010;24/02/2025;10
ORD5052;2;C004;A010;23/04/2025;2
ORD5053;3;C004;A010;23/12/2025;10
ORD5054;4;C004;A010;26/01/2025;2
ORD5055;1;C005;A003;04/03/2025;10
ORD5056;2;C005;A003;10/03/2025;10
ORD5057;3;C005;A003;08/12/2025;5
ORD5058;4;C005;A003;15/08/2025;10
ORD5059;1;C005;A007;08/10/2025;10
ORD5060;2;C005;A007;23/03/2025;10
ORD5061;3;C005;A007;19/08/2025;5
ORD5062;4;C005;A007;07/05/2025;5
ORD5063;1;C005;A008;24/09/2025;10
ORD5064;2;C005;A008;17/11/2025;2
ORD5065;3;C005;A008;21/05/2025;10
ORD5066;4;C005;A008;09/02/2025;5
ORD5067;1;C006;A001;01/05/2025;5
ORD5068;2;C006;A001;21/06/2025;5
ORD5069;3;C006;A001;04/10/2025;1
ORD5070;4;C006;A001;12/03/2025;2
ORD5071;1;C006;A002;29/04/2025;10
ORD5072;2;C006;A002;22/12/2025;2
ORD5073;3;C006;A002;28/12/2025;2
ORD5074;4;C006;A002;02/02/2025;10
ORD5075;1;C007;A004;28/07/2025;5
ORD5076;2;C007;A004;05/10/2025;10
ORD5077;3;C007;A004;01/08/2025;1
ORD5078;4;C007;A004;16/04/2025;10
ORD5079;1;C007;A005;19/07/2025;1
ORD5080;2;C007;A005;22/10/2025;10
ORD5081;3;C007;A005;02/09/2025;1
ORD5082;4;C007;A005;30/06/2025;5
ORD5083;1;C008;A005;19/07/2025;10
ORD5084;2;C008;A005;03/10/2025;2
ORD5085;3;C008;A005;07/09/2025;2
ORD5086;4;C008;A005;20/05/2025;10
ORD5087;1;C008;A008;06/09/2025;1
ORD5088;2;C008;A008;19/07/2025;5
ORD5089;3;C008;A008;09/12/2025;10
ORD5090;1;C009;A001;26/03/2025;10
ORD5091;2;C009;A001;07/03/2025;1
ORD5092;3;C009;A001;21/07/2025;1
ORD5093;1;C010;A003;12/02/2025;10
ORD5094;2;C010;A003;11/03/2025;10
ORD5095;3;C010;A003;04/04/2025;1
ORD5096;4;C010;A003;14/05/2025;10
ORD5097;1;C010;A004;17/06/2025;2
ORD5098;2;C010;A004;21/08/2025;5
ORD5099;3;C010;A004;22/06/2025;10
ORD5100;4;C010;A004;23/05/2025;10
ORD5101;1;C001;A009;10/05/2025;1
ORD5102;1;C002;A009;29/08/2025;1
ORD5103;1;C003;A009;04/10/2025;1
