Numoff;Rigoff;Codcli;Codart;Data_Offerta;Qtaoff;List_Appl_Unit;Prz_Netto_Unit;Cdv_Unit;Stato_Riga_Off
OFF10000;1;C001;A001;21/05/2025;1;5,50;4,26;3,50;ACC
OFF10001;2;C001;A001;22/02/2025;2;5,50;4,35;3,50;ACC
OFF10002;3;C001;A001;14/02/2025;20;5,50;4,25;3,50;ACC
OFF10003;4;C001;A001;16/01/2025;1;5,50;4,27;3,50;ACC
OFF10004;5;C001;A001;16/09/2025;2;5,50;4,38;3,50;ACC
OFF10005;6;C001;A001;12/04/2025;20;5,50;4,27;3,50;ACC
OFF10006;7;C001;A001;07/10/2025;50;5,50;4,24;3,50;ACC
OFF10007;8;C001;A001;29/10/2025;10;5,50;4,31;3,50;ACC
OFF10008;9;C001;A001;23/03/2025;1;5,50;4,34;3,50;ACC
OFF10009;10;C001;A001;23/05/2025;5;5,50;4,25;3,50;ACC
OFF10010;11;C001;A002;22/02/2025;5;7,20;5,64;4,60;ACC
OFF10011;12;C001;A002;03/07/2025;1;7,20;5,66;4,60;ACC
OFF10012;13;C001;A002;16/05/2025;20;7,20;5,44;4,60;ACC
OFF10013;14;C001;A002;24/08/2025;50;7,20;5,46;4,60;ACC
OFF10014;15;C001;A003;10/02/2025;10;12,80;9,71;8,20;ACC
OFF10015;16;C001;A003;13/11/2025;50;12,80;9,70;8,20;ACC
OFF10016;17;C001;A003;23/10/2025;5;12,80;9,53;8,20;ACC
OFF10017;18;C001;A006;24/01/2025;1;45,00;33,32;28,00;ACC
OFF10018;19;C001;A006;10/02/2025;5;45,00;32,26;28,00;ACC
OFF10019;20;C001;A006;14/07/2025;1;45,00;31,83;28,00;ACC
OFF10020;21;C001;A006;06/07/2025;50;45,00;33,12;28,00;ACC
OFF10021;22;C001;A006;18/04/2025;5;45,00;33,38;28,00;ACC
OFF10022;23;C001;A006;16/12/2025;50;45,00;32,24;28,00;ACC
OFF10023;24;C001;A010;22/11/2025;20;180,00;123,77;115,00;ACC
OFF10024;25;C001;A010;06/05/2025;50;180,00;128,06;115,00;ACC
OFF10025;26;C001;A010;19/05/2025;10;180,00;128,13;115,00;ACC
OFF10026;27;C001;A010;19/12/2025;50;180,00;120,69;115,00;ACC
OFF10027;28;C001;A010;16/06/2025;50;180,00;124,59;115,00;ACC
OFF10028;29;C002;A001;28/04/2025;1;5,50;3,99;3,50;ACC
OFF10029;30;C002;A001;25/07/2025;5;5,50;4,00;3,50;ACC
OFF10030;31;C002;A001;18/10/2025;2;5,50;4,12;3,50;ACC
OFF10031;32;C002;A001;19/04/2025;5;5,50;3,99;3,50;ACC
OFF10032;33;C002;A001;26/11/2025;10;5,50;4,04;3,50;ACC
OFF10033;34;C002;A004;13/03/2025;5;85,00;60,49;55,00;ACC
OFF10034;35;C002;A004;03/10/2025;20;85,00;61,21;55,00;ACC
OFF10035;36;C002;A004;08/08/2025;20;85,00;61,16;55,00;ACC
OFF10036;37;C002;A004;05/07/2025;10;85,00;59,00;55,00;ACC
OFF10037;38;C002;A004;18/09/2025;2;85,00;61,30;55,00;ACC
OFF10038;39;C002;A004;26/02/2025;1;85,00;60,37;55,00;ACC
OFF10039;40;C002;A007;15/12/2025;2;68,00;49,90;42,00;ACC
OFF10040;41;C002;A007;17/07/2025;1;68,00;49,17;42,00;ACC
OFF10041;42;C002;A007;28/09/2025;10;68,00;49,28;42,00;ACC
OFF10042;43;C002;A007;06/01/2025;20;68,00;49,64;42,00;ACC
